Model,MAE,RMSE,R2 Score
Linear Regression,0.7897827939931996,1.0086091078323864,0.16175965676086523
Decision Tree,0.08335083491898046,0.35161102848494663,0.8981296578429052
XGBoost,0.3556518077765495,0.4938678694790338,0.7990239378816296
